"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.424709792E0,3.515168762E1,-3.731863022E1,-3.478759766E0
2.444749792E0,3.425646210E1,-3.782074356E1,-3.685791016E0
2.464789792E0,3.347521973E1,-3.817818069E1,-3.231109619E0
2.484829792E0,3.286491394E1,-3.880745316E1,-2.022613525E0
2.504869792E0,3.211362457E1,-3.906086349E1,-6.745605469E-1
2.524909792E0,3.071081543E1,-3.973802567E1,7.749328613E-1
2.544949792E0,2.854895020E1,-4.075225449E1,2.278106689E0
2.564985917E0,2.550723267E1,-4.191600418E1,2.613555908E0
2.585025917E0,2.280880737E1,-4.219065475E1,3.055480957E0
2.605065917E0,2.101722717E1,-4.240742111E1,3.094787598E0
2.625105917E0,2.010594177E1,-4.261904526E1,3.339965820E0
2.645145917E0,1.994564819E1,-4.255321884E1,4.975402832E0
2.665185917E0,2.008131409E1,-4.160543442E1,6.627227783E0
2.685225917E0,2.045063782E1,-4.139336777E1,8.593048096E0
2.705265917E0,2.128773499E1,-4.118741989E1,1.001025391E1
2.725305917E0,2.271559143E1,-4.117400742E1,1.141754150E1
2.745345918E0,2.430473328E1,-4.117298508E1,1.290640259E1
2.765385917E0,2.593356323E1,-4.054188156E1,1.485464478E1
2.785425917E0,2.815068054E1,-3.983809280E1,1.672735596E1
2.805465917E0,2.998403931E1,-3.960355759E1,1.555224609E1
2.825505917E0,2.971618652E1,-4.010214615E1,1.417987061E1
2.845545917E0,2.922373962E1,-4.081018448E1,1.295559692E1
2.865585917E0,2.881491852E1,-4.214355850E1,1.109399414E1
2.885625917E0,2.815901947E1,-4.326811600E1,9.167114258E0
2.905665917E0,2.727474213E1,-4.423488235E1,7.057067871E0
2.925705917E0,2.684744263E1,-4.520660019E1,5.019104004E0
2.945745917E0,2.597770691E1,-4.581389236E1,3.245605469E0
2.965785917E0,2.510047913E1,-4.619256210E1,1.443267822E0
2.985825917E0,2.500930786E1,-4.653079605E1,8.929443359E-2
3.005865918E0,2.481352234E1,-4.641479111E1,-6.152954102E-1
3.025905917E0,2.496186829E1,-4.621992874E1,-1.065338135E0
3.045945917E0,2.524734497E1,-4.636068344E1,-1.327789307E0
3.065985917E0,2.547866821E1,-4.608888626E1,-6.127014160E-1
3.086025917E0,2.563317871E1,-4.647761154E1,6.453552246E-1
3.106065917E0,2.581134033E1,-4.666698837E1,2.741821289E0
3.126105917E0,2.495556641E1,-4.702700424E1,5.427185059E0
3.146145917E0,2.427705383E1,-4.718807602E1,7.379882812E0
3.166185917E0,2.379905701E1,-4.724269485E1,1.003442383E1
3.186225917E0,2.360168457E1,-4.738277817E1,1.326571655E1
3.206265917E0,2.324563599E1,-4.641229630E1,1.676062012E1
3.226305917E0,2.302998352E1,-4.520882797E1,2.044720459E1
3.246345917E0,2.222734070E1,-4.387231064E1,2.384014893E1
3.266385918E0,2.058406067E1,-4.286928940E1,2.637420654E1
3.286425917E0,1.796144104E1,-4.255450821E1,2.753601074E1
3.306465917E0,1.616758728E1,-4.260918045E1,2.860025024E1
3.326506917E0,1.609306335E1,-4.214974594E1,2.830300903E1
3.346546917E0,1.584005737E1,-4.330850601E1,2.617053223E1
3.366586917E0,1.576641846E1,-4.506924820E1,2.244943237E1
3.386626917E0,1.610787964E1,-4.656895828E1,1.850466919E1
3.406666917E0,1.650825500E1,-4.771596909E1,1.457360840E1
3.426706917E0,1.751292419E1,-4.762868118E1,1.303094482E1
