"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.885625917E0,-1.504999042E0,-1.055598259E0,1.212339997E0
2.905665917E0,-1.622189164E0,-1.126065493E0,1.090241194E0
2.925705917E0,-1.730573654E0,-6.547132134E-1,1.224080205E0
2.945745917E0,-1.856756568E0,-1.723368615E-1,8.711569309E-1
2.965785917E0,-1.495703220E0,-4.047245979E-1,4.957185388E-1
2.985825917E0,-6.672052741E-1,-9.221461415E-1,2.396354377E-1
3.005865918E0,-1.508916914E-1,-6.250884533E-1,8.495936543E-2
3.025905917E0,-3.055005707E-2,-4.166184068E-1,-6.074878946E-2
3.045945917E0,3.254534602E-1,-2.629936039E-1,1.558320224E-2
3.065985917E0,8.760154247E-1,1.141017675E-1,-9.180733003E-3
3.086025917E0,1.756333232E0,6.986556053E-1,-9.934247285E-2
3.106065917E0,1.930379868E0,1.239695907E0,6.007705331E-1
3.126105917E0,1.628896832E0,1.411200404E0,9.793754816E-1
3.146145917E0,1.646420002E0,1.889404416E0,5.097598433E-1
3.166185917E0,2.226057529E0,2.560508966E0,2.575886250E-1
3.186225917E0,2.356462717E0,2.943485737E0,-1.241784468E-1
3.206265917E0,1.847476482E0,3.283818483E0,-5.584867001E-1
3.226305917E0,1.672899961E0,3.570010662E0,-8.338679075E-1
3.246345917E0,1.203415513E0,4.093823910E0,-4.127590060E-1
3.266385918E0,2.725450695E-1,4.307727337E0,2.335900068E-1
3.286425917E0,-1.217995211E-2,3.687396288E0,3.600007594E-1
3.306465917E0,6.493158937E-1,4.498040304E-2,8.041101098E-1
3.326506917E0,-1.051323771E0,-2.148498535E0,1.330488920E0
3.346546917E0,-2.976689577E0,-3.082777500E0,1.574381232E0
3.366586917E0,-3.169893742E0,-5.223504543E0,1.763527274E0
3.386626917E0,-1.654785514E0,-7.060429096E0,2.353816032E0
3.406666917E0,-5.411115289E-1,-3.671874762E0,2.629882395E-1
3.426706917E0,-6.109912395E-1,-2.611032009E0,-7.178528905E-1
3.446746917E0,-6.906948090E-1,-2.331201315E0,-6.050503254E-1
3.466786917E0,-4.094593227E-1,-1.302130580E0,-5.668975115E-1
3.486826917E0,-1.402700096E-1,-4.783048332E-1,-4.494209886E-1
3.506866917E0,-3.501085192E-2,-1.337741762E-1,-3.523513377E-1
3.526906917E0,3.930199519E-2,3.432011604E-1,-3.277794123E-1
3.546946917E0,1.013487428E-1,5.672546029E-1,-2.610880733E-1
3.566991917E0,1.387871802E-1,6.014446616E-1,-1.946511716E-1
3.587031917E0,1.334454566E-1,4.997957051E-1,-1.586867273E-1
3.607071918E0,7.031587511E-2,3.316986561E-1,-1.581023633E-1
3.627111917E0,4.310050607E-2,1.254016608E-1,-2.395472527E-1
3.647151917E0,1.901486330E-2,-5.224199593E-2,-2.458905280E-1
3.667191917E0,-3.432780877E-2,-2.650979459E-1,-1.561436951E-1
3.687231917E0,-1.527331471E-1,-4.601820111E-1,-2.164064646E-1
3.707271917E0,-2.720326781E-1,-6.569362879E-1,-1.886353344E-1
3.727311917E0,-4.366825819E-1,-8.747320175E-1,-1.906341612E-1
3.747351917E0,-4.428321719E-1,-9.189663529E-1,-1.815243661E-1
3.767391917E0,-4.044848084E-1,-1.196898580E0,-2.607617378E-1
3.787431917E0,-4.580294192E-1,-1.767761230E0,-1.069477722E-1
3.807471917E0,-5.601436496E-1,-2.963761806E0,1.679850072E-1
3.827511917E0,-4.950776696E-1,-4.982831478E0,5.802148581E-1
3.847551917E0,3.437678516E-1,-7.032121658E0,1.364925027E0
3.867591918E0,-2.157448679E-1,-1.182889271E1,1.434181690E0
3.887632917E0,-1.951662451E-1,4.185999185E-2,-1.958759129E-1
3.907672917E0,-4.495961964E-1,6.121025681E-1,-1.679431945E-1
3.927712917E0,-5.212393403E-1,-7.622514367E-1,4.407446086E-2
3.947752917E0,-7.529742718E-1,-5.483047962E-1,-1.288351230E-2
3.967792917E0,-8.920513988E-1,-8.552199602E-1,-2.306194156E-1
3.987832917E0,-9.170747399E-1,-9.828307629E-1,-5.074026585E-1
4.007872917E0,-9.794461727E-1,-1.093725324E0,-7.107912302E-1
4.027912918E0,-9.392848015E-1,-1.120483756E0,-8.483073115E-1
4.047952917E0,-8.441181183E-1,-1.236416221E0,-8.588469625E-1
4.067992917E0,-7.070088983E-1,-1.224270701E0,-8.767061830E-1
4.088032917E0,-5.733491182E-1,-1.223597407E0,-7.310822010E-1
4.108072917E0,-5.290800333E-1,-1.105129361E0,-7.062091231E-1
