"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.484068291E0,-2.423011322E0,-1.208272385E1,-1.103654938E0
2.504107292E0,-2.660267944E0,-1.026101212E1,-3.823648682E0
2.524146291E0,-3.229833527E0,-7.529791718E0,-1.046623535E0
2.544184292E0,-1.862726440E0,-6.530469818E0,-3.845503235E-1
2.564223291E0,1.742376709E-1,-8.981921997E0,7.238946533E-1
2.584262292E0,8.119116211E-1,-9.892927551E0,-5.556445312E-1
2.604301292E0,5.284011841E-2,-1.020892044E1,-1.474433899E-1
2.624340291E0,6.212081909E-2,-1.010264145E1,1.047671356E0
2.644379292E0,-1.321002960E0,-1.237132370E1,1.499581604E0
2.664418291E0,-1.244062958E0,-1.267878433E1,-1.465901642E0
2.684457292E0,-3.553610229E-1,-1.152857620E1,-3.222349091E0
2.704496291E0,5.810916138E-1,-9.836195526E0,-2.303410034E0
2.724535291E0,-2.552192688E-1,-9.518556061E0,-1.305585022E0
2.744574292E0,-1.582808533E0,-8.113428040E0,-2.995271301E-1
2.764613291E0,4.888833618E-1,-5.108426971E0,-7.673043823E-1
2.784652292E0,5.845344543E-1,-8.357570343E0,-1.592837677E0
2.804691291E0,6.322851562E-1,-9.704918518E0,-3.774401093E0
2.824730292E0,-2.123035126E0,-6.767576752E0,7.996371460E-1
2.844772083E0,-3.877386932E0,-4.129163361E0,2.296374664E0
2.864811083E0,-1.237626343E0,-9.163494415E0,-1.387614441E-1
2.884850083E0,-2.446961517E0,-9.818083191E0,-1.291065216E0
2.904889083E0,-3.732338562E0,-1.105645798E1,-1.828148346E0
2.924928083E0,-4.425996094E0,-1.180834442E1,-1.846709747E0
2.944967084E0,-4.346361694E0,-1.305659866E1,-2.864443359E0
2.965006083E0,-3.737278290E0,-1.393003235E1,-3.282523956E0
2.985045083E0,-3.850742340E0,-1.370519989E1,-2.534080353E0
3.005084083E0,-3.860172729E0,-1.294388306E1,-1.052162018E0
3.025123083E0,-3.562591553E0,-1.353680008E1,3.492237854E-1
3.045162084E0,-2.348616028E0,-1.243733643E1,1.738185425E0
3.065201083E0,-1.465751953E0,-9.742640076E0,1.988015900E0
3.085240083E0,8.502319336E-2,-8.101602631E0,1.698667603E0
3.105279083E0,1.860181732E0,-8.428672485E0,5.066963196E-1
3.125318083E0,2.435884552E0,-9.423204346E0,-5.391787720E-1
3.145357084E0,2.192191315E0,-1.066786606E1,-5.545967102E-1
3.165396083E0,1.580712891E-1,-1.156150772E1,-1.461111603E0
3.185435083E0,-1.835333405E0,-1.125793900E1,-2.638712769E0
3.205474083E0,-2.637215881E0,-9.618099060E0,-2.622546387E0
3.225513083E0,-1.359023895E0,-7.427554321E0,-1.896107025E0
3.245552083E0,3.481759644E-1,-7.421866150E0,-1.838027802E0
3.265591083E0,1.578617249E0,-8.296197968E0,-2.382146301E0
3.285630084E0,2.348466339E0,-8.315358124E0,-2.696492615E0
3.305669083E0,1.229543152E0,-7.729177094E0,-2.585423584E0
3.325708083E0,-1.523831177E-1,-7.092251587E0,-2.319277039E0
3.345747083E0,3.637435913E-2,-7.499554596E0,-2.125579834E0
3.365786083E0,1.364712067E0,-7.651937714E0,-3.312162323E0
3.385825084E0,2.514770508E-1,-7.379354553E0,-2.666704559E0
3.405864083E0,-1.559457092E0,-7.251520386E0,-1.773362274E0
3.425903083E0,-2.504292297E0,-7.199129333E0,-1.287322998E0
3.445942083E0,-4.465663605E0,-1.027433441E1,-2.237996063E0
3.465981083E0,-4.401447144E0,-1.306064026E1,-4.627028046E0
3.486020084E0,6.010002136E-1,-1.254481293E1,-5.150339813E0
3.506059083E0,1.616638184E-1,-1.383153717E1,-4.758305054E0
3.526098083E0,-7.557783508E-1,-1.357272537E1,-5.727539520E0
3.546137083E0,-6.171665955E-1,-1.305435333E1,-4.961732025E0
3.566176083E0,-8.324189758E-1,-1.227672043E1,-3.165167999E0
3.586215083E0,6.451583862E-1,-1.035696259E1,5.870791626E-1
