"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.757098292E0,1.863908386E1,3.284453201E1,-2.681442261E1
2.777137292E0,1.869799805E1,3.165686417E1,-2.772946167E1
2.797176291E0,1.989714050E1,3.078358078E1,-2.823980713E1
2.817215292E0,2.037956238E1,3.010158920E1,-2.871194458E1
2.837257084E0,1.943315125E1,2.981854630E1,-2.937792969E1
2.857296083E0,1.891259766E1,2.975407410E1,-2.979669189E1
2.877335083E0,1.892581177E1,3.009495544E1,-2.946231079E1
2.897374083E0,1.900032043E1,3.055100632E1,-2.874707031E1
2.917413083E0,1.887742615E1,3.080062866E1,-2.827117920E1
2.937452083E0,1.933460999E1,3.123066711E1,-2.781982422E1
2.957491083E0,2.008821106E1,3.143018341E1,-2.713125610E1
2.977530084E0,2.049719238E1,3.132059479E1,-2.653363037E1
2.997569083E0,2.035630798E1,3.149571609E1,-2.615274048E1
3.017608083E0,2.006579590E1,3.227379608E1,-2.513565063E1
3.037647083E0,1.986706543E1,3.284687805E1,-2.432641602E1
3.057686083E0,2.005485535E1,3.411885071E1,-2.269668579E1
3.077725084E0,2.049418640E1,3.458481598E1,-2.182546997E1
3.097764083E0,2.121528625E1,3.473878479E1,-2.104373169E1
3.117803083E0,2.220428467E1,3.481205750E1,-2.100137329E1
3.137842083E0,2.304203796E1,3.424708557E1,-2.084744263E1
3.157881083E0,2.329925537E1,3.418903732E1,-2.122488403E1
3.177920084E0,2.322006226E1,3.443707275E1,-2.143090820E1
3.197959083E0,2.310145569E1,3.447942352E1,-2.110806274E1
3.217998083E0,2.319181824E1,3.483021927E1,-2.068811035E1
3.238037083E0,2.342585754E1,3.463914490E1,-2.028881836E1
3.258076083E0,2.349195862E1,3.467911911E1,-2.031820679E1
3.278115083E0,2.328430176E1,3.479884720E1,-2.039968872E1
3.298154083E0,2.369418335E1,3.470301056E1,-2.017602539E1
3.318193084E0,2.379020691E1,3.502339172E1,-2.018389893E1
3.338232083E0,2.379203796E1,3.488856888E1,-2.042620850E1
3.358271083E0,2.376518250E1,3.496497345E1,-2.046343994E1
3.378310083E0,2.334051514E1,3.521112061E1,-2.007382202E1
3.398349083E0,2.299620056E1,3.554040146E1,-1.967977905E1
3.418388084E0,2.221383667E1,3.640829468E1,-1.943389893E1
3.438427083E0,2.208883667E1,3.705474091E1,-1.864660645E1
3.458466083E0,2.285537720E1,3.765945816E1,-1.750201416E1
3.478505083E0,2.408258057E1,3.778374863E1,-1.698086548E1
3.498544083E0,2.469465637E1,3.810221481E1,-1.626272583E1
3.518583084E0,2.540228271E1,3.868946075E1,-1.529785156E1
3.538622083E0,2.571723938E1,3.853255844E1,-1.522808838E1
3.558661083E0,2.607061768E1,3.902171326E1,-1.472235107E1
3.578700083E0,2.593717957E1,3.876011658E1,-1.509231567E1
3.598739083E0,2.527432251E1,3.811935806E1,-1.585327148E1
3.618778083E0,2.533677673E1,3.795159531E1,-1.662921143E1
3.638817083E0,2.574295044E1,3.732558441E1,-1.613418579E1
3.658856084E0,2.582722473E1,3.715752411E1,-1.652285767E1
3.678895083E0,2.619442749E1,3.696456146E1,-1.708923340E1
3.698934083E0,2.636619568E1,3.667383194E1,-1.722048950E1
3.718973083E0,2.636595154E1,3.615207672E1,-1.792544556E1
3.739012083E0,2.676533508E1,3.557426071E1,-1.889825439E1
3.759051084E0,2.675770569E1,3.543288422E1,-1.995834351E1
3.779090083E0,2.714067078E1,3.496986389E1,-2.017083740E1
3.799129083E0,2.713665771E1,3.451125336E1,-2.094744873E1
3.819168083E0,2.692503357E1,3.425243378E1,-2.191836548E1
3.839207083E0,2.666894531E1,3.358425140E1,-2.296331787E1
3.859246084E0,2.677719116E1,3.301969910E1,-2.354315186E1
3.879285083E0,2.669929504E1,3.231094360E1,-2.410095215E1
3.899324083E0,2.676431274E1,3.157760620E1,-2.471484375E1
