"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.558661083E0,-9.409672022E-1,-8.025023937E-1,1.287752628E0
3.578700083E0,-4.787463546E-1,-1.215862274E0,1.280638099E0
3.598739083E0,2.782170475E-1,-5.818304420E-1,7.747151256E-1
3.618778083E0,5.101915598E-1,6.532803774E-1,4.740316868E-1
3.638817083E0,3.389777541E-1,2.244598418E-1,5.106549263E-1
3.658856084E0,4.438253939E-1,-5.624189228E-2,4.243917167E-1
3.678895083E0,6.771600842E-1,-2.205521315E-1,3.672930896E-1
3.698934083E0,7.769827247E-1,-2.915576100E-1,3.679324687E-1
3.718973083E0,7.705066800E-1,-3.048200011E-1,4.734007418E-1
3.739012083E0,7.587806582E-1,-4.352519214E-1,4.913617969E-1
3.759051084E0,6.335687041E-1,-5.470175147E-1,5.519288778E-1
3.779090083E0,5.810590386E-1,-6.886265278E-1,5.891548395E-1
3.799129083E0,6.482653618E-1,-7.799440026E-1,5.371869802E-1
3.819168083E0,8.043713570E-1,-5.683117509E-1,4.416893423E-1
3.839207083E0,9.746776819E-1,-2.185325176E-1,3.388203382E-1
3.859246084E0,1.177070856E0,6.202632934E-2,1.712985188E-1
3.879285083E0,1.226172924E0,1.671173424E-2,-4.126231652E-3
3.899324083E0,1.072171450E0,-1.612117440E-1,-7.724746317E-2
3.919363083E0,9.370740056E-1,-2.422023565E-1,-2.357029766E-1
3.939402083E0,8.504481316E-1,-4.024177790E-1,-4.668033719E-1
3.959441083E0,6.056988239E-1,-4.014436305E-1,-5.700141191E-1
3.979480083E0,2.256617695E-1,-5.019327402E-1,-4.473897219E-1
3.999519084E0,-1.781877279E-1,-6.536924839E-1,-2.915856242E-1
4.019558083E0,-5.837354660E-1,-5.928424001E-1,-2.426645011E-1
4.039597083E0,-7.914999127E-1,-4.518657625E-1,-2.643139064E-1
4.059636083E0,-1.020998716E0,-2.071744651E-1,-2.510708869E-1
4.079675083E0,-1.419280171E0,1.337952465E-1,-2.654065192E-1
4.099714084E0,-1.756587505E0,3.562769294E-1,-2.706989348E-1
4.119753083E0,-2.079962015E0,7.667117119E-1,-5.498192832E-2
4.139792083E0,-2.180869341E0,9.027270079E-1,2.202278376E-1
4.159831083E0,-1.725145340E0,4.944697022E-1,3.306156695E-1
4.179870083E0,-9.831022024E-1,-3.168259561E-1,2.735120356E-1
4.199909084E0,-2.553854585E-1,-7.495336533E-1,6.486208737E-2
4.219948083E0,1.782593727E-1,-2.181214988E-1,1.029841900E-1
4.239987083E0,4.605644643E-1,2.251277864E-1,1.591352187E-2
4.260026083E0,7.043251991E-1,-5.670786276E-2,-2.459628582E-1
4.280065083E0,8.482431173E-1,-3.862737417E-1,-5.030870438E-1
4.300104083E0,7.781139612E-1,-1.580248028E-1,-5.157384276E-1
4.320143083E0,9.876798093E-2,7.104333043E-1,-1.098559350E-1
4.340182084E0,-4.071136713E-1,6.911502481E-1,1.335052848E-1
4.360221083E0,-3.652049303E-1,4.558287859E-1,-7.760751527E-3
4.380260083E0,-9.898737818E-2,2.123239785E-1,-1.237986758E-1
4.400299083E0,8.200040087E-3,-2.286736220E-1,-1.123505756E-1
