"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.699137235E1,3.211735461E1,1.189518157E2,1.944292872E1,1.081680487E0,4.551263051E1,6.692468800E0,6.692468800E0
7.799138355E1,3.211736392E1,1.189518201E2,1.961259893E1,1.007835567E0,4.101635893E1,7.143272964E0,7.143272964E0
7.899139524E1,3.211736698E1,1.189518351E2,1.964697838E1,1.003384219E0,4.741099964E1,7.354049006E0,7.354049006E0
7.999140859E1,3.211735118E1,1.189518487E2,1.947771084E1,7.425286303E-1,7.695626082E1,7.604733764E0,7.604733764E0
8.099141884E1,3.211735873E1,1.189518516E2,1.979999653E1,5.769859247E-1,7.233866352E1,7.911855080E0,7.911855080E0
8.199143195E1,3.211737079E1,1.189518832E2,1.947733774E1,1.229534472E0,6.863653651E1,7.679884682E0,7.679884682E0
8.299144268E1,3.211737721E1,1.189519078E2,1.976300764E1,1.541301014E0,7.044029361E1,7.761324862E0,7.761324862E0
8.399145198E1,3.211737766E1,1.189519112E2,1.952053409E1,1.223295197E0,6.819983335E1,7.791378503E0,7.791378503E0
8.499146438E1,3.211738206E1,1.189519224E2,1.952774539E1,1.153380450E0,7.044134435E1,8.218704838E0,8.218704838E0
8.599147511E1,3.211739143E1,1.189519307E2,1.979503708E1,1.040606549E0,6.424676044E1,8.648938651E0,8.648938651E0
8.699148786E1,3.211740183E1,1.189519491E2,1.976900568E1,1.214176394E0,6.321350510E1,8.844994424E0,8.844994424E0
8.799150133E1,3.211739559E1,1.189519497E2,1.967361871E1,7.286661905E-1,7.113294170E1,9.041107392E0,9.041107392E0
8.899151075E1,3.211739859E1,1.189519556E2,1.966953692E1,6.223553113E-1,6.845582107E1,9.358673254E0,9.358673254E0
8.999152279E1,3.211740539E1,1.189519647E2,1.994988821E1,6.580868124E-1,7.030185149E1,9.548990681E0,9.548990681E0
9.099153483E1,3.211742334E1,1.189519768E2,1.984688359E1,7.427776242E-1,5.411660030E1,9.398681276E0,9.398681276E0
9.199154627E1,3.211743725E1,1.189520003E2,1.938878935E1,1.043541081E0,5.230961553E1,8.837038659E0,8.837038659E0
9.299155819E1,3.211743887E1,1.189520175E2,1.959140702E1,1.078061261E0,5.682026805E1,8.773525320E0,8.773525320E0
9.399157226E1,3.211744912E1,1.189520281E2,1.968922538E1,1.123383831E0,5.214308378E1,8.837011693E0,8.837011693E0
9.499158263E1,3.211745351E1,1.189520416E2,1.962175742E1,1.148554115E0,5.302341913E1,8.969877309E0,8.969877309E0
9.599159801E1,3.211746019E1,1.189520539E2,1.965854042E1,1.112605206E0,4.951389630E1,8.958160324E0,8.958160324E0
9.699160862E1,3.211745498E1,1.189520694E2,2.000257928E1,9.405712086E-1,6.106942378E1,8.951277865E0,8.951277865E0
