"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.538918090E1,3.211730735E1,1.189516666E2,2.216109041E1,1.034938873E0,2.888040935E2,4.728169171E0,4.728169171E0
3.638918281E1,3.211731184E1,1.189516543E2,2.126866461E1,1.183980744E0,2.891690178E2,4.726631192E0,4.726631192E0
3.738918412E1,3.211731597E1,1.189516449E2,2.081008505E1,1.230252552E0,2.922062457E2,4.744266128E0,4.744266128E0
3.838918626E1,3.211731065E1,1.189516513E2,2.064078157E1,4.754725266E-1,2.961722984E2,4.732933392E0,4.732933392E0
3.938918805E1,3.211729309E1,1.189516497E2,2.032020066E1,7.157398528E-1,1.670899810E2,4.732245303E0,4.732245303E0
4.038919055E1,3.211728679E1,1.189516408E2,1.964390560E1,7.715519401E-1,1.921031293E2,4.739203874E0,4.739203874E0
4.138919103E1,3.211729492E1,1.189516204E2,2.019314905E1,7.475223109E-1,2.651640281E2,4.744689709E0,4.744689709E0
4.238919377E1,3.211729194E1,1.189515985E2,2.019395011E1,1.307152593E0,2.667046359E2,4.750673361E0,4.750673361E0
4.338919580E1,3.211728663E1,1.189515874E2,2.004104633E1,1.074150558E0,2.606843484E2,4.745225021E0,4.745225021E0
4.438919795E1,3.211727312E1,1.189515618E2,2.025085963E1,1.600032196E0,2.498650322E2,4.735822655E0,4.735822655E0
4.538920009E1,3.211725880E1,1.189515517E2,2.042243443E1,1.478021994E0,2.336315210E2,4.731631435E0,4.731631435E0
4.638920283E1,3.211724942E1,1.189515415E2,2.157438864E1,1.230701965E0,2.328121553E2,4.722206501E0,4.722206501E0
4.738920510E1,3.211725892E1,1.189515345E2,2.112214280E1,8.544171955E-1,2.636334204E2,4.733001213E0,4.733001213E0
4.838920736E1,3.211725284E1,1.189515184E2,2.139227821E1,1.164523923E0,2.544969741E2,4.728603356E0,4.728603356E0
4.938920939E1,3.211724749E1,1.189515041E2,2.178049918E1,1.085139669E0,2.470502738E2,4.730910226E0,4.730910226E0
5.038921165E1,3.211724541E1,1.189514936E2,2.167954937E1,9.663834605E-1,2.447054106E2,4.732521772E0,4.732521772E0
5.138921344E1,3.211724432E1,1.189514838E2,2.150900712E1,7.827689392E-1,2.423555006E2,4.735737569E0,4.735737569E0
5.238921678E1,3.211724612E1,1.189514785E2,2.119126972E1,6.223631319E-1,2.462338727E2,4.731501301E0,4.731501301E0
5.338921797E1,3.211724484E1,1.189514622E2,2.103624998E1,1.003006322E0,2.540551014E2,4.743232589E0,4.743232589E0
5.438922071E1,3.211725585E1,1.189514450E2,2.053801889E1,1.184896373E0,2.717963507E2,4.742548929E0,4.742548929E0
5.538922322E1,3.211725062E1,1.189514273E2,2.000419037E1,1.326502135E0,2.634370633E2,4.742684582E0,4.742684582E0
5.638922560E1,3.211724586E1,1.189514263E2,1.958706066E1,7.759758413E-1,2.421877260E2,4.744778977E0,4.744778977E0
5.738922858E1,3.211724707E1,1.189514154E2,1.955035993E1,8.577479973E-1,2.569788664E2,4.743623168E0,4.743623168E0
5.838923144E1,3.211724082E1,1.189514033E2,1.957263549E1,9.342867352E-1,2.517676793E2,4.740006302E0,4.740006302E0
5.938923275E1,3.211723724E1,1.189513962E2,1.950786290E1,6.691933126E-1,2.377729426E2,4.735377320E0,4.735377320E0
6.038923538E1,3.211723152E1,1.189513837E2,1.959149757E1,9.519097867E-1,2.369419647E2,4.728358155E0,4.728358155E0
