"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.474806438E1,-5.649252319E-1,1.938468933E-1,8.108638000E0
3.476800138E1,-4.210743713E-1,6.888674927E-1,7.503596191E0
3.478793738E1,1.866618347E-1,1.115630035E0,6.809339905E0
3.480787438E1,4.559518433E-1,1.398092651E0,5.510041809E0
3.482781138E1,5.209167480E-2,1.877395935E0,4.690795441E0
3.484774738E1,-1.257385254E-1,1.999242554E0,5.738616486E0
3.486768438E1,-1.646575928E-1,2.313439178E0,7.122039642E0
3.488762038E1,4.864883423E-2,2.438129883E0,8.126151581E0
3.490755738E1,-1.752854919E-1,2.564467163E0,8.881780243E0
3.492749438E1,-3.706292725E-1,2.938988342E0,9.591753845E0
3.494743038E1,-5.487588501E-1,3.179089050E0,1.122021744E1
3.496736738E1,-9.020242310E-1,3.117267609E0,1.277877640E1
3.498730338E1,-1.775158539E0,2.703977051E0,1.362631393E1
3.500724038E1,-2.504591675E0,2.026635590E0,1.416624115E1
3.502717738E1,-1.719025269E0,1.969753876E0,1.471110809E1
3.504711338E1,-2.040257263E-1,2.084864502E0,1.511556702E1
3.506705038E1,4.996609497E-1,1.622026978E0,1.456216782E1
3.508698638E1,-8.720864868E-1,1.059945831E0,1.236832993E1
3.510692338E1,-1.198108521E0,4.968168640E-1,9.520951080E0
3.512686038E1,1.817221069E-1,8.831634521E-3,8.947493591E0
3.514679638E1,8.147557068E-1,-1.878593445E-1,9.857002258E0
3.516673338E1,7.129673767E-1,-4.825964355E-1,9.905950470E0
3.518666938E1,5.382806396E-1,-6.147715759E-1,9.020541687E0
3.520660638E1,6.149212646E-1,-3.992198181E-1,7.686515808E0
3.522654338E1,1.241817627E0,-1.258882141E-1,6.859186249E0
3.524647938E1,1.691332855E0,3.341052246E-1,7.096742249E0
3.526641638E1,1.608405304E0,5.138813782E-1,6.625671844E0
3.528635238E1,1.416504364E0,6.563850403E-1,6.330785065E0
3.530628938E1,1.697470093E0,7.945477295E-1,6.499184875E0
3.532622538E1,2.242187347E0,1.066232758E0,6.837631073E0
3.534616238E1,2.189945984E0,1.176253967E0,6.842271423E0
3.536609937E1,1.769620056E0,1.080004120E0,6.922654266E0
3.538603538E1,1.414109344E0,8.415499878E-1,7.317682800E0
3.540597196E1,1.130898285E0,8.217910767E-1,8.416847076E0
3.542590796E1,1.169368286E0,8.092172241E-1,9.365574188E0
3.544584496E1,1.580862579E0,7.869136047E-1,9.790390778E0
3.546578196E1,1.697470093E0,9.731263733E-1,1.094568832E1
3.548571796E1,1.649420013E0,9.857002258E-1,1.205922272E1
3.550565496E1,1.855990448E0,9.134005737E-1,1.223151443E1
3.552559096E1,2.048789520E0,3.203338623E-2,1.207583817E1
3.554552796E1,1.685195618E0,-9.913883972E-1,1.303953415E1
3.556546496E1,1.035546570E0,-1.653611298E0,1.413839905E1
3.558540096E1,-3.472778320E-2,-1.965412903E0,1.346614700E1
3.560533796E1,-4.567002869E-1,-2.025438080E0,1.190534271E1
3.562527396E1,1.324745178E-1,-1.713935852E0,1.018347336E1
3.564521096E1,1.200653229E0,-1.155147858E0,9.588460693E0
3.566514696E1,1.488654327E0,-3.499722290E-1,1.009291168E1
3.568508396E1,8.569679260E-1,-3.772155762E-2,9.025182037E0
3.570502096E1,3.471281433E-1,2.296224976E-1,7.436835022E0
3.572495696E1,3.204835510E-1,5.536985779E-1,5.984555054E0
3.574489396E1,2.824626160E-1,9.369017029E-1,5.523663483E0
3.576482996E1,-1.772314453E-1,1.505569153E0,5.868995361E0
3.578476696E1,-4.899311829E-1,2.040406952E0,6.402635651E0
3.580470396E1,-5.565426636E-1,2.298320618E0,7.002138977E0
3.582463996E1,-5.333409119E-1,2.021695862E0,8.474327545E0
3.584457696E1,-1.041534119E0,1.416204987E0,1.146705414E1
3.586451296E1,-1.670975189E0,1.137783966E0,1.342273727E1
3.588444996E1,-1.749561768E0,8.231382751E-1,1.262160324E1
3.590438596E1,-1.332828369E0,1.017134857E0,1.222028778E1
3.592432296E1,-5.316943359E-1,1.512604523E0,1.305076080E1
3.594425996E1,4.411326599E-1,2.015558624E0,1.404140076E1
3.596419596E1,-1.996847534E-1,9.626481628E-1,1.369142853E1
