"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.740901917E0,-1.828996688E-1,-6.500331312E-2,9.292619675E-2
2.760942917E0,-1.417937726E-1,3.384044021E-2,1.536574513E-1
2.780982917E0,-6.290422380E-2,4.421129450E-2,2.058516890E-1
2.801022917E0,-8.651013486E-3,-4.485799000E-2,2.841520011E-1
2.821062917E0,1.742527587E-3,-2.171293348E-1,3.354129493E-1
2.841102917E0,-6.652642041E-2,-2.223112732E-1,3.430510163E-1
2.861142918E0,-1.477558315E-1,-1.735069156E-1,2.867152393E-1
2.881182917E0,-1.691191643E-1,-1.381144524E-1,2.027928531E-1
2.901222917E0,-6.234776229E-2,-1.697134823E-1,1.077183262E-1
2.921263626E0,1.542803496E-1,-1.762299091E-1,8.381981403E-3
2.941303626E0,3.603675961E-1,-1.093997061E-1,-4.999545589E-2
2.961343626E0,4.688969553E-1,-1.284140162E-2,-3.446900100E-2
2.981383625E0,4.424746633E-1,5.658055097E-2,-9.197730571E-3
3.001423625E0,3.585911095E-1,-1.936044730E-2,3.397604823E-2
3.021463625E0,2.329961956E-1,-1.572862118E-1,5.348163843E-2
3.041503625E0,4.039948434E-2,-2.039071172E-1,5.567446351E-3
3.061544625E0,-1.212836877E-1,-1.382287741E-1,-9.412532300E-2
3.081584626E0,-2.278823853E-1,8.644981310E-3,-1.908641905E-1
3.101624626E0,-2.156290561E-1,8.457147330E-2,-2.074560970E-1
3.121664626E0,2.393760718E-2,3.325050697E-3,-1.953263134E-1
3.141704625E0,4.470186532E-1,-6.176844612E-2,-2.181659453E-2
3.161744625E0,7.094037533E-1,-1.020976342E-3,8.767689019E-2
3.181784625E0,6.030031443E-1,2.817252651E-3,1.342423707E-1
3.201824625E0,2.791514397E-1,-1.418100595E-1,8.946653455E-2
3.221865625E0,4.095390439E-3,-2.594708502E-1,6.113032345E-3
3.241905625E0,-2.134928256E-1,-1.553408056E-1,5.540152639E-2
3.261945626E0,-4.264523983E-1,1.427957863E-1,1.955445260E-1
3.281985626E0,-6.843166351E-1,3.986142576E-1,2.366472185E-1
3.302025625E0,-8.946940899E-1,3.714962602E-1,1.052851155E-1
3.322065625E0,-8.637259007E-1,1.082220972E-1,-1.628381163E-1
3.342105625E0,-6.311895251E-1,-1.076814085E-1,-4.008761346E-1
3.362146625E0,-3.200942874E-1,-1.312653273E-1,-4.353625774E-1
3.382186625E0,-6.228226051E-2,6.789512001E-3,-3.519060314E-1
3.402226625E0,9.854278713E-2,1.126671433E-1,-2.819827497E-1
3.422266626E0,1.321179122E-1,2.921622619E-2,-2.397323698E-1
3.442306626E0,1.428859979E-1,-1.336219162E-1,-1.987715065E-1
3.462346626E0,1.707268506E-1,-2.336997837E-1,-1.202765703E-1
3.482386625E0,2.214556634E-1,-2.738928199E-1,-9.604058228E-3
3.502427625E0,2.335863560E-1,-2.512441278E-1,6.833381951E-2
