"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.614078230E2,3.211410488E1,1.189505347E2,1.527841350E1,4.597710213E-1,1.998429413E2,4.840438901E0,4.840438901E0
1.624078280E2,3.211409807E1,1.189505399E2,1.537338581E1,4.356519393E-1,1.771509194E2,4.845240851E0,4.845240851E0
1.634078331E2,3.211407803E1,1.189505429E2,1.534937043E1,9.387766563E-1,1.780377205E2,4.847659522E0,4.847659522E0
1.644078386E2,3.211406219E1,1.189505496E2,1.547583419E1,1.137637573E0,1.751886872E2,4.856280825E0,4.856280825E0
1.654078436E2,3.211404917E1,1.189505580E2,1.542229412E1,1.135174434E0,1.694827681E2,4.872839182E0,4.872839182E0
1.664078493E2,3.211403691E1,1.189505686E2,1.534201279E1,1.206695244E0,1.592982991E2,4.860125062E0,4.860125062E0
1.674078549E2,3.211402840E1,1.189505780E2,1.554836631E1,1.050284146E0,1.526280356E2,4.873418048E0,4.873418048E0
1.684078612E2,3.211402609E1,1.189505877E2,1.556262021E1,8.345838245E-1,1.429770133E2,4.891504050E0,4.891504050E0
1.694078653E2,3.211401959E1,1.189505944E2,1.537673679E1,8.347702335E-1,1.420962243E2,4.907134348E0,4.907134348E0
1.704078707E2,3.211400446E1,1.189506015E2,1.526973190E1,1.058288456E0,1.470613052E2,4.907313283E0,4.907313283E0
1.714078774E2,3.211400110E1,1.189506126E2,1.548043639E1,8.410622102E-1,1.357418678E2,4.896755986E0,4.896755986E0
1.724078816E2,3.211399491E1,1.189506149E2,1.561139644E1,7.342699654E-1,1.423946793E2,4.891093306E0,4.891093306E0
1.734078854E2,3.211398148E1,1.189506130E2,1.563026691E1,7.647621309E-1,1.486088389E2,4.889762860E0,4.889762860E0
1.744078912E2,3.211396800E1,1.189506077E2,1.582652177E1,6.173104190E-1,1.608528221E2,4.877761470E0,4.877761470E0
1.754078972E2,3.211396134E1,1.189505983E2,1.562735865E1,4.780062342E-1,1.926396048E2,4.883071412E0,4.883071412E0
1.764079019E2,3.211396153E1,1.189505803E2,1.543966591E1,6.985758867E-1,2.229725778E2,4.895781124E0,4.895781124E0
1.774079080E2,3.211395446E1,1.189505714E2,1.578952217E1,7.940930264E-1,2.180612920E2,4.902750972E0,4.902750972E0
1.784079162E2,3.211395142E1,1.189505683E2,1.597297865E1,5.055582243E-1,2.173672878E2,4.900869783E0,4.900869783E0
1.794079174E2,3.211394437E1,1.189505610E2,1.579045757E1,6.723051702E-1,2.160488842E2,4.902909960E0,4.902909960E0
