"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.400368921E1,2.278617859E1,-1.235968971E1,-4.443192291E1
8.402362521E1,2.265328979E1,-1.281402111E1,-4.441613007E1
8.404356221E1,2.230377197E1,-1.306272316E1,-4.461651611E1
8.406349821E1,2.194247437E1,-1.310605431E1,-4.475907135E1
8.408343521E1,2.155146790E1,-1.304899025E1,-4.495955658E1
8.410337121E1,2.133317566E1,-1.298266029E1,-4.496985245E1
8.412330821E1,2.100617981E1,-1.273731041E1,-4.504123306E1
8.414324521E1,2.074363708E1,-1.248253059E1,-4.534832001E1
8.416318121E1,2.046296692E1,-1.215016937E1,-4.550561905E1
8.418311821E1,2.020919800E1,-1.172234726E1,-4.568719482E1
8.420305421E1,2.021766663E1,-1.130502605E1,-4.581063080E1
8.422299121E1,2.024778748E1,-1.026965427E1,-4.594126892E1
8.424292721E1,2.050321960E1,-8.441625595E0,-4.608037949E1
8.426286421E1,2.068795776E1,-7.425944328E0,-4.619497681E1
8.428280121E1,2.120420837E1,-5.897953033E0,-4.613673401E1
8.430273721E1,2.181132507E1,-5.547416687E0,-4.596087646E1
8.432267421E1,2.220668030E1,-5.897493362E0,-4.585110474E1
8.434261021E1,2.233352661E1,-6.483242035E0,-4.570676804E1
8.436254721E1,2.241682434E1,-6.967881203E0,-4.542191315E1
8.438248321E1,2.281451416E1,-7.647659302E0,-4.533573914E1
8.440242021E1,2.330297852E1,-8.301948547E0,-4.503314972E1
8.442235721E1,2.391770935E1,-8.800880432E0,-4.460806274E1
8.444229321E1,2.466270447E1,-9.132349014E0,-4.416902161E1
8.446223021E1,2.517932129E1,-9.411142349E0,-4.384599304E1
8.448216621E1,2.553958130E1,-9.475668907E0,-4.355818939E1
8.450210321E1,2.582568359E1,-9.151060104E0,-4.334702682E1
8.452203921E1,2.603268433E1,-8.493318558E0,-4.332654572E1
8.454197621E1,2.622502136E1,-7.692183495E0,-4.340036011E1
8.456191321E1,2.634936523E1,-6.550535202E0,-4.341985321E1
8.458184921E1,2.645423889E1,-5.123281479E0,-4.357040405E1
8.460178621E1,2.668237305E1,-3.881847382E0,-4.364262009E1
8.462172221E1,2.698094177E1,-2.732141495E0,-4.343573761E1
8.464165921E1,2.710314941E1,-1.920246124E0,-4.332868958E1
8.466159521E1,2.717068481E1,-1.364969254E0,-4.338483047E1
8.468153221E1,2.680213928E1,-7.672805786E-1,-4.349138260E1
8.470146921E1,2.634683228E1,-4.318027496E-1,-4.362723160E1
8.472140521E1,2.615528870E1,-6.727333069E-1,-4.374525452E1
8.474134221E1,2.599868774E1,-1.604738235E0,-4.374438477E1
8.476127821E1,2.579144287E1,-3.047382355E0,-4.396663666E1
8.478121521E1,2.543714905E1,-4.817853928E0,-4.404043961E1
8.480115121E1,2.492562866E1,-6.709402084E0,-4.408628082E1
8.482108821E1,2.421305847E1,-8.454258919E0,-4.417343903E1
8.484102521E1,2.340214539E1,-9.677412033E0,-4.447581100E1
8.486096121E1,2.252333069E1,-1.020629692E1,-4.482940674E1
8.488089796E1,2.193444824E1,-1.022754478E1,-4.505966949E1
8.490083396E1,2.144908142E1,-9.946592331E0,-4.534886169E1
8.492077096E1,2.133741760E1,-9.778779984E0,-4.556431580E1
8.494070696E1,2.134884644E1,-9.799826622E0,-4.550275421E1
8.496064396E1,2.160067749E1,-1.015739822E1,-4.523069000E1
8.498058096E1,2.187673950E1,-1.077657700E1,-4.489768600E1
8.500051696E1,2.208164978E1,-1.148576832E1,-4.469029617E1
8.502045396E1,2.203051758E1,-1.220127869E1,-4.454561234E1
8.504038996E1,2.175566101E1,-1.266753769E1,-4.449468231E1
8.506032696E1,2.142535400E1,-1.288288784E1,-4.464327240E1
8.508026296E1,2.104316711E1,-1.280937481E1,-4.473471832E1
8.510019996E1,2.083119202E1,-1.267719269E1,-4.481357956E1
8.512013596E1,2.044792175E1,-1.239168835E1,-4.509043121E1
8.514007296E1,1.989480591E1,-1.202953148E1,-4.549790192E1
8.516000996E1,1.920538330E1,-1.135855103E1,-4.587052917E1
8.517994596E1,1.820355225E1,-1.049848270E1,-4.644861603E1
8.519988296E1,1.712655640E1,-9.507832527E0,-4.704367065E1
8.521981896E1,1.640440369E1,-8.616985321E0,-4.734098053E1
8.523975596E1,1.599519348E1,-7.482136726E0,-4.762902069E1
8.525969196E1,1.586097717E1,-5.982408524E0,-4.775135803E1
8.527962896E1,1.628645325E1,-4.142854691E0,-4.786354446E1
8.529956596E1,1.716319275E1,-2.615467072E0,-4.766911316E1
8.531950196E1,1.812159729E1,-1.920095444E0,-4.712434387E1
8.533943896E1,1.893211365E1,-1.962343216E0,-4.689636993E1
8.535937496E1,1.931723022E1,-2.646778107E0,-4.680123901E1
8.537931196E1,1.943702698E1,-3.712440491E0,-4.670174789E1
8.539924796E1,1.939137268E1,-4.808652878E0,-4.662587357E1
8.541918496E1,1.945370483E1,-5.806396484E0,-4.659477997E1
8.543912196E1,1.962493896E1,-6.395389557E0,-4.650845337E1
8.545905796E1,1.988601685E1,-6.549034119E0,-4.625682449E1
8.547899496E1,2.034159851E1,-6.280872345E0,-4.604155731E1
8.549893096E1,2.090577698E1,-5.706052780E0,-4.590126801E1
8.551886796E1,2.148846436E1,-4.820913315E0,-4.568590164E1
8.553880396E1,2.211407471E1,-3.959062576E0,-4.555453491E1
8.555874096E1,2.269215393E1,-3.038803101E0,-4.537169266E1
8.557867796E1,2.319903564E1,-2.128986359E0,-4.525099945E1
8.559861396E1,2.371971130E1,-1.379758835E0,-4.487201691E1
8.561855096E1,2.413380432E1,-8.713111877E-1,-4.483520508E1
8.563848696E1,2.440226746E1,-4.252586365E-1,-4.474472046E1
8.565842396E1,2.431874084E1,-1.632061005E-1,-4.461825180E1
8.567835996E1,2.405717468E1,-6.439208984E-3,-4.471932220E1
8.569829696E1,2.345220947E1,1.182174683E-1,-4.490714645E1
8.571823296E1,2.278576660E1,-6.213760376E-2,-4.520184326E1
8.573816996E1,2.186453247E1,-5.418052673E-1,-4.564895630E1
8.575810696E1,2.097500610E1,-1.155218124E0,-4.606555557E1
8.577804296E1,2.019679260E1,-2.201181412E0,-4.626241684E1
8.579797996E1,1.932019043E1,-3.635259628E0,-4.663122559E1
8.581791596E1,1.841615295E1,-5.171186447E0,-4.698876190E1
8.583785296E1,1.717164612E1,-6.232032776E0,-4.720043945E1
8.585778896E1,1.614987183E1,-6.706876755E0,-4.734336472E1
8.587772596E1,1.548999023E1,-6.823761940E0,-4.745477295E1
8.589766308E1,1.524594116E1,-6.791305542E0,-4.763077164E1
8.591759908E1,1.540870667E1,-6.827096939E0,-4.754013824E1
8.593753608E1,1.552847290E1,-6.914408684E0,-4.733203888E1
8.595747208E1,1.594734192E1,-7.238626480E0,-4.712787628E1
8.597740908E1,1.631861877E1,-7.727007866E0,-4.702950287E1
8.599734508E1,1.651223755E1,-8.233153343E0,-4.698425293E1
8.601728208E1,1.663133240E1,-8.711668968E0,-4.690763855E1
8.603721908E1,1.669769287E1,-8.977654457E0,-4.693051529E1
8.605715508E1,1.691514587E1,-9.023510933E0,-4.679919434E1
8.607709208E1,1.714028931E1,-8.988956451E0,-4.691946030E1
8.609702808E1,1.739074707E1,-8.792639732E0,-4.681164932E1
8.611696508E1,1.794277954E1,-8.434519768E0,-4.669041443E1
8.613690108E1,1.835719299E1,-8.069375992E0,-4.654067612E1
8.615683808E1,1.881999207E1,-7.905389786E0,-4.634928894E1
8.617677408E1,1.946282959E1,-7.545075417E0,-4.618211365E1
8.619671108E1,2.046058655E1,-6.597295761E0,-4.593298340E1
8.621664808E1,2.140040588E1,-5.125532150E0,-4.572264481E1
8.623658408E1,2.181811523E1,-4.128171921E0,-4.574481964E1
8.625652108E1,2.179714966E1,-3.766670227E0,-4.577388763E1
8.627645708E1,2.167243958E1,-4.368743896E0,-4.578713226E1
8.629639408E1,2.161531067E1,-5.614639282E0,-4.582453918E1
8.631633008E1,2.152249146E1,-7.125410080E0,-4.565486526E1
8.633626708E1,2.127207947E1,-8.389360428E0,-4.550063324E1
8.635620308E1,2.101473999E1,-9.513297081E0,-4.546692657E1
8.637614008E1,2.071170044E1,-1.068068695E1,-4.522083282E1
8.639607708E1,2.055429077E1,-1.186230850E1,-4.519057465E1
8.641601308E1,2.039529419E1,-1.311979771E1,-4.501300049E1
8.643595008E1,2.025685120E1,-1.426207829E1,-4.469551468E1
8.645588608E1,2.008447266E1,-1.520947552E1,-4.449318695E1
8.647582308E1,2.005693054E1,-1.591599560E1,-4.426236343E1
8.649575908E1,2.008110046E1,-1.626893234E1,-4.404177856E1
8.651569608E1,2.039656067E1,-1.632268906E1,-4.394908524E1
8.653563308E1,2.091894531E1,-1.583994484E1,-4.382060242E1
8.655556908E1,2.158522034E1,-1.498135185E1,-4.365354156E1
8.657550608E1,2.238880920E1,-1.381527615E1,-4.365921021E1
8.659544208E1,2.348597717E1,-1.236433315E1,-4.349623871E1
8.661537908E1,2.454705811E1,-1.097637177E1,-4.333491898E1
8.663531508E1,2.563505554E1,-9.880878448E0,-4.302931213E1
8.665525208E1,2.641314697E1,-8.682721138E0,-4.285028839E1
8.667518808E1,2.671012878E1,-7.447590828E0,-4.289270782E1
8.669512508E1,2.680010986E1,-6.357154846E0,-4.285615540E1
8.671506208E1,2.701892090E1,-5.436075211E0,-4.286046600E1
8.673499808E1,2.738842773E1,-5.452169418E0,-4.271559525E1
8.675493508E1,2.752447510E1,-6.001438141E0,-4.247512436E1
8.677487108E1,2.757789612E1,-6.454603195E0,-4.241566467E1
8.679480808E1,2.749911499E1,-7.748358727E0,-4.234344482E1
8.681474408E1,2.718582153E1,-9.293976784E0,-4.218051910E1
8.683468108E1,2.669502258E1,-1.082776546E1,-4.209675217E1
8.685461708E1,2.580928040E1,-1.204176235E1,-4.234188843E1
8.687455408E1,2.480702209E1,-1.278269958E1,-4.260740662E1
8.689449200E1,2.395939636E1,-1.319722748E1,-4.300411987E1
8.691442800E1,2.340721130E1,-1.341024399E1,-4.324730682E1
8.693436500E1,2.315487671E1,-1.373544693E1,-4.335044861E1
8.695430100E1,2.312985229E1,-1.408730984E1,-4.332291412E1
8.697423800E1,2.308685303E1,-1.452247715E1,-4.322853470E1
8.699417400E1,2.300120544E1,-1.497497272E1,-4.320072937E1
8.701411100E1,2.270861816E1,-1.526854706E1,-4.314546204E1
8.703404800E1,2.259078979E1,-1.544877052E1,-4.315090179E1
8.705398400E1,2.242378235E1,-1.530054855E1,-4.323898315E1
8.707392100E1,2.237411499E1,-1.512232685E1,-4.334692001E1
8.709385700E1,2.263706970E1,-1.466822815E1,-4.342050934E1
8.711379400E1,2.322160339E1,-1.367646885E1,-4.358929443E1
8.713373000E1,2.396954346E1,-1.212412643E1,-4.365321350E1
8.715366700E1,2.477389526E1,-1.028207016E1,-4.359238434E1
8.717360300E1,2.550297546E1,-8.643683434E0,-4.344950867E1
8.719354000E1,2.660203552E1,-7.491146088E0,-4.292602158E1
8.721347700E1,2.774481201E1,-7.122000694E0,-4.228001404E1
8.723341300E1,2.820303345E1,-7.642593384E0,-4.188967133E1
8.725335000E1,2.804067993E1,-8.670656204E0,-4.176236725E1
8.727328600E1,2.768434143E1,-1.021731186E1,-4.164834595E1
8.729322300E1,2.721380615E1,-1.198543072E1,-4.151862335E1
8.731315900E1,2.658900452E1,-1.401169205E1,-4.131526947E1
8.733309600E1,2.588581848E1,-1.559652233E1,-4.106393433E1
8.735303300E1,2.559492493E1,-1.643951607E1,-4.102752686E1
8.737296900E1,2.557380676E1,-1.644688416E1,-4.107640839E1
8.739290600E1,2.578279114E1,-1.576642799E1,-4.126010132E1
