"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.827506685E1,3.211736135E1,1.189518188E2,2.167624664E1,1.038879781E0,7.255639506E1,4.794608940E0,4.794608940E0
6.927507222E1,3.211735719E1,1.189518316E2,2.125061665E1,9.620354297E-1,8.687476819E1,4.800977112E0,4.800977112E0
7.027507925E1,3.211736290E1,1.189518396E2,2.005513371E1,8.022718574E-1,7.665578220E1,4.796554268E0,4.796554268E0
7.127508402E1,3.211738020E1,1.189518550E2,2.119491515E1,1.132374529E0,5.967130300E1,4.784860079E0,4.784860079E0
7.227508974E1,3.211737610E1,1.189518658E2,2.220270390E1,9.363628660E-1,7.014278065E1,4.791251939E0,4.791251939E0
7.327509606E1,3.211737940E1,1.189518723E2,2.201773894E1,6.580404000E-1,6.253257134E1,4.809529336E0,4.809529336E0
7.427510202E1,3.211739226E1,1.189518869E2,2.202483786E1,9.723448334E-1,6.384312301E1,4.811929604E0,4.811929604E0
7.527510798E1,3.211740175E1,1.189519020E2,2.196298028E1,1.215901707E0,6.214806258E1,4.815214835E0,4.815214835E0
7.627511346E1,3.211741344E1,1.189519210E2,2.201325537E1,1.342708372E0,6.032259916E1,4.803255900E0,4.803255900E0
7.727511919E1,3.211742313E1,1.189519365E2,2.201330778E1,1.380779456E0,5.785053369E1,4.801473190E0,4.801473190E0
7.827512610E1,3.211742520E1,1.189519504E2,2.122209471E1,1.359632293E0,5.929064076E1,4.814382249E0,4.814382249E0
7.927513111E1,3.211741517E1,1.189519542E2,2.127706445E1,9.449964121E-1,7.842143197E1,4.803279811E0,4.803279811E0
8.027513659E1,3.211742176E1,1.189519615E2,2.089536895E1,6.852105570E-1,7.334299770E1,4.797626306E0,4.797626306E0
8.127514291E1,3.211742498E1,1.189519780E2,2.063565729E1,7.641227559E-1,7.276872679E1,4.800755448E0,4.800755448E0
8.227514958E1,3.211743634E1,1.189519911E2,2.081023341E1,8.827835050E-1,6.473061789E1,4.793300191E0,4.793300191E0
8.327515423E1,3.211743882E1,1.189519986E2,2.059061259E1,8.219885720E-1,6.551496560E1,4.803113512E0,4.803113512E0
8.427516043E1,3.211744818E1,1.189520083E2,2.071056279E1,8.146718603E-1,5.911175150E1,4.801893729E0,4.801893729E0
8.527516592E1,3.211744819E1,1.189520233E2,2.098909414E1,8.705157845E-1,6.540008910E1,4.808524871E0,4.808524871E0
8.627517200E1,3.211744843E1,1.189520318E2,2.122135067E1,7.956684680E-1,6.307080185E1,4.829541676E0,4.829541676E0
8.727517784E1,3.211746351E1,1.189520379E2,2.152129136E1,9.384673589E-1,5.153939952E1,4.801222100E0,4.801222100E0
8.827518332E1,3.211744922E1,1.189520449E2,2.083251765E1,3.781699985E-1,8.975052911E1,4.817750793E0,4.817750793E0
8.927469385E1,3.211745057E1,1.189520527E2,2.056489096E1,0.000000000E0,6.157090680E1,4.840585208E0,4.840585208E0
9.027467740E1,3.211745983E1,1.189520579E2,2.040035160E1,0.000000000E0,5.338954625E1,4.852583612E0,4.852583612E0
9.127465260E1,3.211746701E1,1.189520884E2,2.129551565E1,1.054859718E0,7.606313621E1,4.857511095E0,4.857511095E0
9.227465677E1,3.211749042E1,1.189520845E2,2.155923578E1,1.050117062E0,2.735159847E1,4.831480192E0,4.831480192E0
9.327466094E1,3.211749100E1,1.189520933E2,2.179497742E1,7.949808037E-1,2.703395279E1,4.828059096E0,4.828059096E0
9.427466118E1,3.211750553E1,1.189520987E2,2.249314551E1,1.172331543E0,1.355764831E1,4.788909472E0,4.788909472E0
